trial,round,phase,acc_after,acc_before,alpha_mean,avg_forgetting,bwt,contribution_ratio,eval_acc,eval_loss,expanded_depth,expanded_width,expansion_g,incorp_accepted,incorp_active_adapters,incorp_candidacies_proposed,incorp_candidacy_pending,incorp_confirmed,incorp_last_vote_favorable_fraction,incorp_monitoring,incorp_rejected,incorp_reverted,num_classes_seen,partition_id,server_eval_acc,server_eval_loss,train_loss,vote,worst_class_bwt,worst_class_bwt_id,worst_class_forgetting,worst_class_forgetting_id
trial_0001,83,global,,,,0.26825346605482764,-0.010446908895945075,,,,,,,2,0,33,0,0,0.0,0,31,2,27,,0.13436532507739937,13.615919735557155,,,-0.8,1,0.8,1
trial_0001,84,train,,,0.2516336355437624,,,0.06105287912044119,,,0.0,0.0,0.005775060776068132,2,0,34,1,0,0.0,0,31,2,,,,,0.0280491356381235,,,,,
trial_0001,84,eval,0.5263157894736842,0.5263157894736842,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,84,global,,,,0.2689537108503415,-0.011147153691458956,,,,,,,2,0,34,0,0,0.0,0,32,2,27,,0.13312693498452013,13.414580968142294,,,-0.8,1,0.8,1
trial_0001,85,train,,,0.2516264465261013,,,0.061003875225148295,,,0.0,0.0,0.005744221654520593,2,0,34,0,0,0.0,0,32,2,,,,,0.027970796088351214,,,,,
trial_0001,85,eval,,,,,,,0.5789473684210527,2.3172018796597658,,,,,,,,,,,,,,,,,,,,,,
trial_0001,85,global,,,,0.27071411448971117,-0.01290755733082862,,,,,,,2,0,34,0,0,0.0,0,32,2,27,,0.1306501547987616,13.435841534971821,,,-0.8,1,0.8,1
trial_0001,86,train,,,0.25164032870150627,,,0.060114315215577474,,,0.0,0.0,0.005466836702126263,2,0,34,0,0,0.0,0,32,2,,,,,0.02342958654316657,,,,,
trial_0001,86,eval,,,,,,,0.5789473684210527,2.3984126468238074,,,,,,,,,,,,,,,,,,,,,,
trial_0001,86,global,,,,0.26653620138454587,-0.008729644225663342,,,,,,,2,0,34,0,0,0.0,0,32,2,27,,0.13560371517027864,13.498724280200875,,,-0.8,1,0.8,1
trial_0001,87,train,,,0.25162913919763363,,,0.06000649041317879,,,0.0,0.0,0.004968901774911037,2,0,35,1,0,0.0,0,32,2,,,,,0.02294822504169288,,,,,
trial_0001,87,eval,0.47368421052631576,0.47368421052631576,,,,,,,,,,,,,,,,,,,,2.1052631578947367,,,,0.0,,,,
trial_0001,87,global,,,,0.266934066358858,-0.009127509199975473,,,,,,,2,0,35,0,0,0.0,0,33,2,27,,0.13498452012383902,13.701699356693233,,,-0.8,1,0.8,1
trial_0001,88,train,,,0.25161647860040054,,,0.05958324290336447,,,0.0,0.0,0.006060990204005454,2,0,35,0,0,0.0,0,33,2,,,,,0.09304742071718136,,,,,
trial_0001,88,eval,,,,,,,0.5789473684210527,2.447963286877463,,,,,,,,,,,,,,,,,,,,,,
trial_0001,88,global,,,,0.26917080574204894,-0.009344046562964378,,,,,,,2,0,35,0,0,0.0,0,33,2,27,,0.13374613003095975,13.22493067880164,,,-0.8,1,0.8,1
trial_0001,89,train,,,0.2516212564833621,,,0.059375559395932136,,,0.0,0.0,0.0045962107963668074,2,0,35,0,0,0.0,0,33,2,,,,,0.024960455162688456,,,,,
